payment_name_novalnetinvoice;"Invoice"
payment_name_novalnetprepayment;"Prepayment"
payment_name_novalnetcashpayment;"Barzahlen/viacash"
payment_name_novalnetcreditcard;"Credit Card"
payment_name_novalnetsepa;"Direct Debit SEPA"
payment_name_novalnetideal;"iDEAL"
payment_name_novalnetsofort;"Instant Bank Transfer"
payment_name_novalnetpaypal;"PayPal"
payment_name_novalnetprzelewy24;"Przelewy24"
payment_name_novalneteps;"eps"
payment_name_novalnetgiropay;"giropay"
frontend_description_novalnetinvoice;"Once you've submitted the order, you will receive an e-mail with account details to make payment"
frontend_description_novalnetprepayment;"Once you've submitted the order, you will receive an e-mail with account details to make payment"
frontend_description_novalnetsepa;"Your account will be debited upon the order submission"
frontend_description_novalnetcashpayment;"After completing your order you get a payment slip from Barzahlen that you can easily print out or have it sent via SMS to your mobile phone. With the help of that payment slip you can pay your online purchase at one of our retail partners (e.g. supermarket)."
frontend_description_novalnetcreditcard;"The amount will be debited from your credit card once the order is submitted"
frontend_description_novalnetpaypal;"After the successful verification, you will be redirected to Novalnet secure order page to proceed with the payment.<br>Please don’t close the browser after successful payment, until you have been redirected back to the Shop"
frontend_description_novalnetideal;"After the successful verification, you will be redirected to Novalnet secure order page to proceed with the payment.<br>Please don’t close the browser after successful payment, until you have been redirected back to the Shop"
frontend_description_novalnetsofort;"After the successful verification, you will be redirected to Novalnet secure order page to proceed with the payment.<br>Please don’t close the browser after successful payment, until you have been redirected back to the Shop"
frontend_description_novalneteps;"After the successful verification, you will be redirected to Novalnet secure order page to proceed with the payment.<br>Please don’t close the browser after successful payment, until you have been redirected back to the Shop"
frontend_description_novalnetgiropay;"After the successful verification, you will be redirected to Novalnet secure order page to proceed with the payment.<br>Please don’t close the browser after successful payment, until you have been redirected back to the Shop"
frontend_description_novalnetprzelewy24;"After the successful verification, you will be redirected to Novalnet secure order page to proceed with the payment.<br>Please don’t close the browser after successful payment, until you have been redirected back to the Shop"
handler_name_novalnetinvoice;"NovalnetInvoice"
handler_name_novalnetprepayment;"NovalnetPrepayment"
handler_name_novalnetcashpayment;"NovalnetCashPayment"
handler_name_novalnetcreditcard;"NovalnetCreditCard"
handler_name_novalnetsepa;"NovalnetSepa"
handler_name_novalnetideal;"NovalnetIdeal"
handler_name_novalnetsofort;"NovalnetSofort"
handler_name_novalnetpaypal;"NovalnetPaypal"
handler_name_novalnetprzelewy24;"NovalnetPrzelewy24"
handler_name_novalneteps;"NovalnetEps"
handler_name_novalnetgiropay;"NovalnetGiropay"
novalnet_payment_transdetails_info;"Novalnet transaction details"
novalnet_message_test_order;"Test order"
novalnet_payment_valid_until;"Due date: "
novalnet_account_owner;"Account holder: "
novalnet_bank_name;"Bank: "
novalnet_bank_iban;"IBAN: "
novalnet_bank_bic;"BIC: "
novalnet_order_amount;"Amount: "
novalnet_reference1;"Payment Reference 1"
novalnet_reference2;"Payment Reference 2"
novalnet_order_no;"order number"
novalnet_payment_mail_invoice;"Please transfer the amount to the below mentioned account details of our payment processor Novalnet"
novalnet_order_amount;"Amount: "
novalnet_tid_label;"Novalnet transaction ID"
novalnet_invoice_note_multiple_reference;"Please use any one of the following references as the payment reference, as only through this way your payment is matched and assigned to the order:"
cashpayment_slip_exp_date;"Slip expiry date"
cashpayment_store;"Store(s) near you"
guarantee_text;"This is processed as a guarantee payment"
pending_guarantee_text;"Your order is under verification and once confirmed, we will send you our bank details to where the order amount should be transferred. Please note that this may take upto 24 hours."
pending_guarantee_text_sepa;"Your order is under verification and we will soon update you with the order status. Please note that this may take upto 24 hours."
